nameWithOwner,id,title,state,createdAt,closedAt,changedFiles,additions,deletions,reviews,body,participants,comments,hours_spent
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTA5ODg2MzUw,Fix typo in Study Guide section,MERGED,2017-03-09T10:50:34Z,2017-03-10T00:36:12Z,1,2,2,1,78,2,1,13.760555555555555
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTA5OTIzMDg2,Fix typo - lobsided -> lopsided,MERGED,2017-03-09T14:21:29Z,2017-03-10T00:37:40Z,1,1,1,1,0,2,1,10.269722222222223
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTEwMDU5NTM1,Add Dyn DDoS attack link,MERGED,2017-03-10T04:30:56Z,2017-03-11T02:07:51Z,1,1,1,1,4,2,1,21.615277777777777
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTEwMDc3NzI0,Fix multiple typos,MERGED,2017-03-10T07:53:56Z,2017-03-11T02:06:35Z,1,8,8,1,0,3,1,18.210833333333333
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTExMTgxNzI2,Fix #6: Migrate links from exercises/solutions to use internal links,MERGED,2017-03-16T22:49:05Z,2017-03-19T19:23:03Z,8,35,35,1,225,2,2,68.56611111111111
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTExMzk2MjQy,"Delete duplicate word ""does"" in design exercises",MERGED,2017-03-18T04:17:42Z,2017-03-18T15:37:17Z,3,3,3,1,0,2,1,11.32638888888889
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTExNDE2NTE1,Fix typo JSS -> JS,MERGED,2017-03-18T16:45:40Z,2017-03-19T19:24:13Z,1,1,1,1,35,2,1,26.6425
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTExNDcyNTU4,Declare variable key in the get_user example,MERGED,2017-03-19T22:54:10Z,2017-03-21T11:39:11Z,1,1,0,1,221,2,1,36.750277777777775
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTEyMDU3MDkx,Fix typo,MERGED,2017-03-22T16:44:21Z,2017-03-23T02:53:16Z,1,1,1,2,0,3,1,10.14861111111111
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTEyMzUyMzc0,Fix typos,MERGED,2017-03-23T22:30:10Z,2017-03-24T02:42:03Z,1,2,2,1,0,2,1,4.198055555555555
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTEyNDM3NTE5,change the service discovery documenation example to use consul/etcd,CLOSED,2017-03-24T11:32:50Z,2017-03-26T17:02:10Z,1,4,1,2,84,3,4,53.48888888888889
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTEyNjA2Mjc5,Explain difference between PUT & PATCH,MERGED,2017-03-25T22:50:04Z,2017-03-29T10:19:15Z,1,2,0,1,246,2,2,83.48638888888888
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTEyNjM0ODE3,"Update service discovery section to include consul, etcd, and additional details",MERGED,2017-03-26T16:58:09Z,2017-03-28T11:45:13Z,1,1,1,3,0,5,1,42.784444444444446
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTE0MDk0MzQ5,Change AP wording for clarity,MERGED,2017-04-04T08:27:14Z,2017-04-04T09:56:39Z,1,1,1,1,291,2,1,1.4902777777777778
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTE2MDE3NzQz,zh-cn: Add Simplified Chinese translation v1.0,MERGED,2017-04-15T07:44:20Z,2017-04-15T13:32:32Z,1,1797,0,1,122,2,4,5.803333333333334
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTE2MDQ3MDA2,zh-cn: Rename README-zh-Hant.md to README-zh-Hans.md,MERGED,2017-04-16T03:17:12Z,2017-04-16T21:49:16Z,1,0,0,1,90,2,2,18.534444444444443
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTE3MDg2NjQy,Fix asynchronism link in mint README,MERGED,2017-04-22T00:06:53Z,2017-05-16T04:10:52Z,1,1,1,2,0,3,1,580.0663888888889
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTE4NjI4MjYz,Fix lowercase typo in Layer 7 load balancing title,MERGED,2017-05-02T19:28:31Z,2017-05-16T04:17:24Z,1,1,1,1,54,2,1,320.8147222222222
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTE5NjYwMzA0,Fix typo,MERGED,2017-05-09T13:31:23Z,2017-05-27T00:32:45Z,1,1,1,1,0,2,1,419.0227777777778
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTIxMjI5NTAy,Add license disclaimer,CLOSED,2017-05-18T08:42:10Z,2017-05-27T00:34:53Z,2,10,0,1,140,2,0,207.8786111111111
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTIyMzU2OTcy,Fix #79: Inaccuracy in Twitter timeline and search example,MERGED,2017-05-25T01:47:16Z,2017-05-27T00:31:32Z,1,1,1,1,0,2,1,46.73777777777778
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTIyOTIzNjEy,Init spot_size member in parking lot exercise,MERGED,2017-05-29T16:47:48Z,2017-05-30T00:55:33Z,1,1,1,1,29,2,1,8.129166666666666
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTI0MjE3NjEz,Fix reducer argument in pastebin exercise,MERGED,2017-06-06T15:19:52Z,2017-06-14T00:43:11Z,1,1,1,1,322,2,1,177.38861111111112
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTI5NjE1Nzcy,Add Grab Engineering Blog link,CLOSED,2017-07-10T07:25:48Z,2017-07-18T02:13:02Z,2,2,0,1,237,2,3,186.78722222222223
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTI5ODE2NTgx,Add automated testing,CLOSED,2017-07-11T03:27:24Z,2018-10-28T21:25:17Z,1,11,0,2,337,4,12,11393.964722222223
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTMwODYzODg1,Fix typo in denormalization section,MERGED,2017-07-17T14:04:37Z,2017-07-18T02:08:37Z,1,1,1,1,0,2,1,12.066666666666666
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTM1NzQ3Mjcw,Convert all .py files to be valid Python,MERGED,2017-08-15T07:19:19Z,2018-03-07T00:37:47Z,7,78,39,3,231,2,8,4889.307777777778
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTQzODEzODU2,Add API rate limiter design link,MERGED,2017-09-29T06:10:36Z,2017-10-09T00:52:45Z,1,1,0,1,0,2,2,234.7025
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTQ0MTAyODE0,Fix typo: considering -> consider in scaling AWS solution,MERGED,2017-10-02T02:42:48Z,2017-10-07T16:06:38Z,1,1,1,1,91,2,1,133.3972222222222
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTQ3OTYwMDQ5,Simplify logic for is_ace and is_face_card in deck of cards solution,MERGED,2017-10-21T19:56:43Z,2017-10-25T01:06:00Z,1,2,2,1,0,2,1,77.15472222222222
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTQ5MDk5NzI5,Add Japanese Translation,MERGED,2017-10-27T04:40:49Z,2017-12-02T01:15:57Z,1,1787,0,6,40,5,9,860.5855555555555
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTUzNTI3MTAy,Correct Redis list structure in Twitter solution,MERGED,2017-11-20T01:11:18Z,2017-11-30T01:12:16Z,1,1,1,1,280,2,1,240.01611111111112
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTU2NzUyNDYx,ja: Fix typo ,MERGED,2017-12-06T15:03:13Z,2017-12-08T01:18:26Z,1,1,1,1,776,3,4,34.25361111111111
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTYwNzE1MTQ1,add Netflix in Company Architecture,CLOSED,2018-01-02T12:01:03Z,2018-01-21T16:51:13Z,1,4,3,1,0,2,2,460.8361111111111
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTYxNDc5Mjgx,Add Netflix in Company Architectures,MERGED,2018-01-06T12:59:55Z,2018-01-21T16:55:00Z,1,1,0,2,0,3,1,363.91805555555555
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTYxNDc5NDIw,Add Scaling Uber in Company Architecture,MERGED,2018-01-06T13:04:37Z,2018-02-02T23:08:50Z,1,1,1,1,0,2,1,658.0702777777777
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTYxNDc5NDk4,"Add article link: How Twitter Handles 3,000 Images/sec",MERGED,2018-01-06T13:07:40Z,2019-04-10T00:47:00Z,1,1,1,3,0,2,3,11003.655555555555
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTYxNDc5NTk2,Add Facebook Live Streams,MERGED,2018-01-06T13:10:29Z,2018-02-16T01:37:46Z,1,1,1,1,0,2,1,972.4547222222222
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTY1NDU3ODY5,Update master-slave section anchor,MERGED,2018-01-26T20:51:15Z,2018-02-08T00:57:01Z,4,4,4,1,82,2,1,292.0961111111111
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTY5MDIxMzc2,Add Traditional Chinese translation,MERGED,2018-02-14T04:51:04Z,2018-02-28T02:41:24Z,2,1787,1,8,272,4,23,333.8388888888889
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTcxMjI4NzIy,Update re:Invent url to 2017 version,MERGED,2018-02-25T12:51:34Z,2018-02-27T02:28:05Z,3,18,18,1,158,2,1,37.60861111111111
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTcyNTQzNDk2,zh-TW: Add proper line break to links,MERGED,2018-03-02T16:19:29Z,2018-03-04T19:14:45Z,1,16,16,1,119,2,1,50.92111111111111
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTcyODA1Nzgy,zh-Hans: Fix typos,MERGED,2018-03-05T08:53:33Z,2018-03-08T01:37:46Z,1,7,7,1,0,3,2,64.73694444444445
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTczMzU3MDQ2,Add missing self variables to Deck of Cards solution,MERGED,2018-03-07T05:32:45Z,2018-03-18T13:21:53Z,1,3,3,1,18,2,1,271.81888888888886
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTc0MTQ4NzUw,Change LARGE to VehicleSize.LARGE in parking lot solution,MERGED,2018-03-10T02:37:12Z,2018-04-09T00:25:12Z,1,2,2,2,63,2,4,717.8
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTc0MTU4MTE4,Add deque import to Social Graph solution,MERGED,2018-03-10T07:14:36Z,2018-03-24T23:38:34Z,1,2,0,1,84,2,0,352.39944444444444
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTc0OTM1NjA1,Fix coding errors,MERGED,2018-03-14T12:11:36Z,2018-04-26T01:19:05Z,3,5,5,1,325,2,2,1021.1247222222222
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTc4OTUyODA5,Fix dict KeyError,MERGED,2018-04-02T22:52:26Z,2018-04-26T01:22:06Z,1,2,2,2,53,2,1,554.4944444444444
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTc4OTUzMDQ2,Fix dict KeyError,MERGED,2018-04-02T22:53:43Z,2018-04-26T01:22:26Z,1,2,2,2,39,2,1,554.4786111111111
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTc4OTg3NDkw,"Fixed grammar in ""Learn how to design large-scale systems""",CLOSED,2018-04-03T03:54:13Z,2020-07-04T14:40:44Z,1,2,2,2,0,3,1,19762.77527777778
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTc5MDE5ODY5,zh-TW: Fix comment format,MERGED,2018-04-03T07:56:28Z,2018-04-11T00:28:16Z,1,1,1,2,80,3,4,184.53
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTgxNzkyMDgz,Add missing enum imports,MERGED,2018-04-16T08:53:40Z,2018-05-07T01:26:02Z,2,6,2,1,663,2,2,496.5394444444444
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTg0MjQwNDE5,Adding missing self variable,MERGED,2018-04-26T06:44:04Z,2018-05-07T01:25:32Z,1,1,1,1,130,2,1,258.6911111111111
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTg0MjQ0MTcz,Change variable seller to category in Mint solution,MERGED,2018-04-26T07:04:46Z,2018-05-23T03:15:43Z,1,1,1,1,200,2,1,644.1825
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTkwODQyNDY4,zh-Hans: Fix typo,MERGED,2018-05-28T06:04:38Z,2018-06-16T05:30:42Z,1,1,1,2,22,4,1,455.43444444444447
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTk2NzY2NzAw,Replace broken SQL tuning links,MERGED,2018-06-22T15:10:58Z,2018-06-29T03:18:12Z,1,2,2,1,67,2,1,156.12055555555554
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjAwMTMxNDM4,zh-Hans: Fix PostgreSQL typo,MERGED,2018-07-09T15:10:58Z,2018-07-13T11:32:15Z,1,1,1,1,24,2,1,92.35472222222222
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjAxMjcwNDEz,Fix #148: Add State(Enum) to social_graph_snippets.py,MERGED,2018-07-13T11:58:50Z,2018-07-15T00:01:58Z,1,6,0,1,44,2,1,36.05222222222222
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjAxNDM0NTU4,Remove Imgur dependency by storing images locally,MERGED,2018-07-14T03:56:05Z,2020-07-18T01:15:48Z,40,152,152,2,0,3,4,17637.328611111112
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjAxNDQ0MzYw,ja: Swap VARCHAR and CHAR translation error,MERGED,2018-07-14T09:33:31Z,2018-07-15T00:05:15Z,1,1,1,1,255,3,2,14.528888888888888
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjAxNDgyNDQ4,Add newlines - PEP8 style,MERGED,2018-07-15T05:56:01Z,2018-07-19T06:09:10Z,3,3,1,1,814,2,1,96.21916666666667
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjAxNTY0ODc2,zh-TW: Improve translations,MERGED,2018-07-16T08:08:25Z,2018-07-20T04:46:36Z,1,4,4,1,0,5,5,92.63638888888889
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjAyNDc0NDY3,Fix broken links,MERGED,2018-07-19T07:57:12Z,2018-07-25T01:55:55Z,4,15,15,2,0,3,1,137.97861111111112
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjAzMDA2MjIw,Fix typo in LRU cache solution,MERGED,2018-07-21T11:33:22Z,2018-07-23T06:13:03Z,1,1,1,1,0,2,1,42.661388888888894
