nameWithOwner,url,createdAt,stargazers,pullRequests
NARKOZ/hacker-scripts,https://github.com/NARKOZ/hacker-scripts,2015-11-21T19:05:09Z,46412,111
doocs/advanced-java,https://github.com/doocs/advanced-java,2018-10-06T11:38:30Z,69554,114
minimaxir/big-list-of-naughty-strings,https://github.com/minimaxir/big-list-of-naughty-strings,2015-08-08T20:57:20Z,44730,123
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,2018-03-01T16:05:52Z,133597,133
juliangarnier/anime,https://github.com/juliangarnier/anime,2016-03-13T21:37:45Z,44913,136
kelseyhightower/nocode,https://github.com/kelseyhightower/nocode,2018-02-06T23:54:00Z,56407,137
mtdvio/every-programmer-should-know,https://github.com/mtdvio/every-programmer-should-know,2017-08-24T13:18:26Z,70286,141
google/material-design-icons,https://github.com/google/material-design-icons,2014-10-08T18:01:28Z,47887,150
Developer-Y/cs-video-courses,https://github.com/Developer-Y/cs-video-courses,2016-10-21T17:02:11Z,54542,160
resume/resume.github.com,https://github.com/resume/resume.github.com,2011-02-06T13:39:55Z,59763,170
tonsky/FiraCode,https://github.com/tonsky/FiraCode,2014-11-11T19:32:38Z,69615,176
ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,2017-03-03T21:52:39Z,47886,187
trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,95199,196
f/awesome-chatgpt-prompts,https://github.com/f/awesome-chatgpt-prompts,2022-12-05T13:54:13Z,65645,197
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,197595,198
DopplerHQ/awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,2015-11-28T09:48:17Z,54720,207
leonardomso/33-js-concepts,https://github.com/leonardomso/33-js-concepts,2018-09-04T13:27:04Z,55796,213
wasabeef/awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,2014-12-24T01:45:03Z,46038,215
ryanmcdermott/clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,2016-11-25T22:25:41Z,81492,246
prakhar1989/awesome-courses,https://github.com/prakhar1989/awesome-courses,2014-11-15T18:36:49Z,46630,249
typicode/json-server,https://github.com/typicode/json-server,2013-11-27T13:21:13Z,66402,268
florinpop17/app-ideas,https://github.com/florinpop17/app-ideas,2019-02-25T18:36:56Z,64104,274
awesomedata/awesome-public-datasets,https://github.com/awesomedata/awesome-public-datasets,2014-11-20T06:20:50Z,53754,276
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,2017-02-26T16:15:28Z,217595,282
thedaviddias/Front-End-Checklist,https://github.com/thedaviddias/Front-End-Checklist,2017-10-16T10:12:36Z,64780,292
twitter/the-algorithm,https://github.com/twitter/the-algorithm,2023-03-27T14:57:57Z,54729,292
azl397985856/leetcode,https://github.com/azl397985856/leetcode,2018-03-30T09:13:51Z,50996,303
